statement,emotion
Darren  looking small and extremely disgruntled  was slumped in the front lefthand seat  ,disgust
When my partner was attacked and lost three teeth,anger
For all those years youve protected the seed its time to become the beautiful flowerSC Paul   ,fear
When the girl I loved turned me down,sadness
maggiegore GOSH DANG IT  ILL BE ON THE BAND TRIP ,sadness
Between Love amp Fear  What do you choose  inspiration,fear
the hook of the door keeps hooking onto my lace shorts it is ripping the lace ,sadness
well if your family has pork for dinner tomorrow they may not be al qaeda but listen for talk of insurrection and anyways,fear
I felt it when I sat for my exam in anatomy,fear
Not being able to do well to be chosen for the English lecture,sadness
Someone who was speeding was forced to slow down when I pulled out onto the road and proceeded to abuse me at the next set of traffic lights,anger
Darby was momentarily crestfallen before saying   I still think it s an office you need to find  ,sadness
Lack of  that makes people  of meeting challengesI  in myselfMuhammad Ali    ,fear
theTrestle I miss you is G coming home for Xmas  benjaminbutton xmasparty,sadness
Cant wait for a 12 hour shift tomorrow starting at 4am ,joy
A depressed person may cry a great deal  show selfpity and lack of interest in the outside world and have no enjoyment of everyday life  even food  ,sadness
When I had passed MCE examinations,joy
 Oh  thats great  I want to try later  ,joy
sunshineoctopus didnt you have a very similar one of me appear on your cell a few years ago ha haaa,surprise
 Im glad you like it  ,anger
Celebrate Life  this is your one chance Give the  of    amp ,joy
 for Wodens Day On the dotted line pirate made his black X not the treasure   ,joy
He was petrified of the clippers at first  ,fear
Just got done at doc My neck is out of place and my back is curved ,joy
To say Im pissed off is an understatement  where is LilMissAbingdon when I Want to speak to her   ,anger
im PHONELESS my phone is at the sprint storesleeping there away from me lls,sadness
An argument among several friends because of the irrational behavior of one of them who fell out with us for no reason and said that we were to blame,anger
How I hate walking away that last time ,sadness
Taking a hot shower and debating on whether or not you should get to the toilet or just let it all out ,surprise
I was on a farm with a few friends and during the talk I discovered that a friend of mine was being betrayed by her boyfriend and a 3rd friend of ours,anger
 Thats perfect  I will definitely do well  ,joy
why does everyone talk about snow like we dont live in canada ,surprise
time to start this research paper ,joy
The only thing holding all of us back is the of failing,fear
Now that Lil R has started talking his mouth runs constantlyits a turmoil of blabbers n spit ,joy
Anxious people become acutely sensitized to their bodies  noticing minor bodily changes upon which they focus  ,fear
I had too much homework and examinations and I did not know how to organize my work,anger
When I was accused by my brother of having stolen a 5 kwatcha note from my mothers bag  I was beaten up for this the money was found later,anger
Can honestly say dont think Ive ever done so shit in an exam before ,joy
Every time I watch Harry Potter and The Goblet of Fire Im like quotCedric wont die this time He cantquot And he always does  ,sadness
had the same headache for three days straight ,joy
i really need to start unfollowing people people meeee,disgust
When you quit fearing pain and learn to  and embrace it you will lose everything all together,fear
78yo veteran father I said thoughts on JuliaGillard him Just tell her I said shes a fucking liar she is not to be  trusted ,surprise
I was happy that I was having my own baby but sometimes I used to cry for nothing and I was easily upset  ,joy
During the exam period I studied in the library alone  A close   friend of mine who is also a classmate told me that my application for a Japanese intercultural exchange programme had been accepted  I was not very sure as I did not know that the list had been declared  I ran to the board and saw that I was really included in the list  I was so excited that I smiled all day long  When I met my classmates and friends I told them the good news  I was so happy that I could not concentrate on my studies ,joy
Na zes keer een stanley mes in mn oog tape aan mn sokken en ruzie met isoleer materiaal ben ik dan eindelijk klaar ,surprise
Truth be told I miss youand truth be told Im lying  What happened to AAR  ,sadness
 I only hope you re right   he said in anguished tones  ,sadness
not afraid of tomorrow for I have seen yesterday and I love today less,fear
 I am sorry  sir  But may I see your drivers license and insurance policy  PLS  I have to give you a ticket  ,sadness
And even though they got good reviews and are about important things ,anger
Round two of basketball games ,joy
 9 My biggest fear is needles I cant stand getting a shot  ,fear
Back on the metro Another train that just isnt MOVING ,joy
Once as a child I dreamed of a fire Since that time I hadnt wanted to sleep in that bed and had feared the night darkness and so it is now,fear
 Thats just wrong  why dont you just quit  ,anger
 Waiter  ,anger
When the paramilitary was sent to the university and it started using tear gas and started intimidating the students without any provocation,anger
 when you get so bored you end up looking through tweets until you get to the ones marked 37 hours agobored,sadness
whats up ,neutral
Tomorrow is probably a shorts day ,surprise
Stop tweeting about him Its annoying to see his name everytime I look at twitter heisevil trustme,anger
And in other news the Pope has announced that he is not a Muslim  ,surprise
SophieFeeneyx yep Woopwoop Othello Im going to be doing english literally all dayexcluding last lesson All night tomo ,joy
She gave an embarrassed smile and looked down at her hands  ,shame
theres so many things holding me back like ,fear
Those night when you have absolutely nothing to do or no one to hang out with ,sadness
Yay I get to put up with all the cute couples in my family for the holidays not,joy
This things appear to be true but I know for sure its false ,fear
When my mother scolded me for coming home late ie after 7 PM,anger
An agitated old lady addressed Ramsey severely and asked why he did not go back to his own country and do good there instead of stirring up trouble in the United States  ,fear
Being TRUE to yourself is the FIRST step to LIVE with your BEST purposeauthenticityJOY    happy,joy
Some people you will never begin to understand ,disgust
The  of Christmas continues Second VUFantasia Performace TONIGHT StAndrews Presbyterian Church in Newport See you there,joy
Im not doing anything till about 4 or 5 so if you want to hang yeah Not going to the CVILLE game anymore GO WILDCATS,sadness
 Nothing  Its just one of those days  Everyone at the office is sick and Im getting blamed for work not being done  ,sadness
and the headache is back for the fifth time today ,joy
A cousin keeps telling me education past high school is a sham Too bad he cant spell or make an argument correctly  ,sadness
Computer over heating Im scare its going to die soon ,sadness
 Im in such a need of the job that I cant afford any mistakes  ,fear
When a friend carelessly broke and object in my parents house and did not apologize or pay or anything,anger
puts you in line IGNORANCE keeps you silent and MONEY is a serial killer,fear
My friends put everyone elses to shame fam,joy
Clattering on  trying to hold five ponies and eat an icecream  Perdita was not amused to hear whoops and noisy hooting behind her  ,joy
Strictly avoid frightening ideas ,fear
I was scared stiff of giving my first performance  ,fear
Far from experiencing simple gratitude  such children will most likely feel terribly torn and anxious when faced with their foster parents  offer of affection  ,fear
Bagel and latte at mocha lisas I should become more of a morning person for this reason ,joy
its one thing to dream of like a model or something but not of your neighbor  ugh people just me,disgust
Finally finished that laundey I forgot i had some of these clothes i just hung up ,surprise
Passing my pharmacy exams which meant my tertiary education for pharmacy completed,joy
melantrom It will the avid deep soulful listener Connecting those unaware of its spiritual strength Ull Like them,surprise
not afraid of tomorrow for I have seen yesterday and I love today less,fear
lovely birthday meal with all everyone So much love for the bestfriend clarissa murphy xxxx,surprise
 que me regalen lo que yo quiero sin que supieran que era lo que queria D,surprise
Sumo chops by Johnny Goodtime  FIVE STAR MATCH  ,fear
Hey gdungan3008 care to explain this Turner Gill fella ,sadness
emilyguido the best time to west a striped sweater is all the time,sadness
The onlookers at first thought this accident was part of the show and were creased with laughter  making the poor man even more irate  ,anger
So lets take a 3 hour nap before waking up to study some more watchoutforthewalkingzombietmrw,joy
Went to IKEACanada Ottawa to buy 3 sets of the quotMARTOPquotdishes that you advertisedI was told they never had them at that location ,sadness
I will not tolerate divisions of any sort ANY sort ampIts safer not 2jump on bandwagons besides what did the band do 2U personally,anger
I miss my super cool  sunglasses that broke ,sadness
Heeft iemand van die kleine plastic cowboy en indianenpoppetjes die ergens liggen te verstoffen Kan ze goed gebruiken dtv,surprise
cool mom thanks for putting a stuffed animal rat in my backpack ,surprise
BriannaRawwrr yeah I am starting to realise that my hoodies dont suffice  marks a sad day ,sadness
When my bosom friend tried to lie to me,anger
They expect anger rage and jealousy Give them kindness stay clam and watch them burn in flames  life smile Egypt,anger
 Ok  ,neutral
I saw a dead Cardinal outside at lunch I dont think its a coincidence  ,sadness
Guess Im gonna get started on this speech I have to write ,joy
Off to my first Christmas party this year  holiday ,joy
The amount of people who misspell on twitterfb is astounding Especially since almost every site has a spellchecker these days ,surprise
Im at the intersection of Food amp Love Im baking chocolate chip cookies ,joy
The breaking up of a long lasting relationship,sadness
one of my favourite past times is waiting in the rain for the number 11 bus birmingham,joy
 Um  no  ,neutral
Debo admitir que amo la moda la ropa los accesorios las pasarelas los modelos los diseadores en fin la moda es mi vida ,joy
Last day of cleaning before  Ready to enjoy it with fam amp friends family hanginout,joy
Only running 40 minutes late ,joy
When a friend wouldnt speak to me and wouldnt tell me why,anger
De nazis zijn nog in zit hier een vent met een gigantisch hakenkruis op zn hand ,joy
Aaaannnddd Im not going to get my lens amp flash in time disappointed  Now to try amp come up with a plan b ,sadness
I can wait to see the return of factor tomorrow My wife however is not,fear
Christmas tree shopping  ,joy
The animal seemed to take a perverse delight in terrorizing him  ,joy
Dont let grab your tongue nor let it confine  your heart life is too short to live an mundane existence milla,fear
I was angry this morning when I missed the train to university,anger
TheBodyShopUK waiting for santa to come round on his sleigh brings me ,joy
 when mom opens our neighbors mail on accident and for the record they already hate us ,joy
Moms Made ChiliBt Im Not Hungry ,surprise
YESgtgtgt time for everyones fav time of the year putting up those xmas light ,joy
He was now a very effective reader of his own work  his theatrical instincts were here most valuable and  as Edmund Wilson noted  he could communicate a feeling of intense excitement to his audiences  ,joy
First day of works pretty fun ,surprise
Time to bust out this online final and then work the rest of the day ,joy
quotAjaRhea522 My blow dryer shoots out blue flames   got you a new one for  but its a ,surprise
Why am I being arrested  ,anger
Never allow anyone to steal the JOY God has given you Wife Husband CoWorker friends or family Psalm 1611 Your is very precious,joy
They d had a skinful so were nt in a particularly noticing mood but they saw and heard nothing  nothing except what they described as a kind of mournful whistling coming from deep in the wood   ,sadness
 Exactly  ,neutral
TheBodyShopUK knowing that I get to spend christmas with my family x,joy
 Kirk Franklin gt Hosanna  ,joy
Elizabeth s face lit up  as she told him of Martha s excitement over the clothes sent by Tamar  ,joy
Cannot concentrate on what I should be   need to burn off pent up  one erotic paranormalromance shortstory coming up,anger
Soroad trip time ,joy
They were cross with each other because of him  and now Nanny was saying bad things about Smallfry that would make Buddie very  very angry  ,anger
luizceza JosedeAbreu i think its interesting why this news is not on any major tvjournal today  ,fear
AMEN RT PaulaWhite Defeat the devil and decide to be happy to give God praise today regardless what is going on around you,joy
I cant wait to decorate the tree while Hooper changes the lyrics of quotbaby its cold outsidequot to a rape song  christmas,joy
How does my sister get jwinno cambo97 MadisonPettis22 and all those people to follow her D ,sadness
Great meeting with CreativeScots senior team this morning then fabby catch up with the wondrous AmmMonaghan ,joy
Dads left me in charge of finding a hotel for when we go to London ,joy
It was the kind of life that  was making life miserable in the extreme for her and since I felt responsible for her it was making me miserable too  ,sadness
two papers for the same class due the same damn day  which is wednesday amp i havent started  ,joy
Ah job hunting ,joy
He seemed agitated  restlessly pacing about  looking out into the crowds  then drawing back into the shelter of the arcade  ,fear
The Repton boy s horror at Churchill s antiBolshevist campaign had turned into a more adult and less ferocious criticism  ,fear
RandyCoppinger  RE   gt did I mention this fresh destination also provides a dedicated room for the studio P,joy
Time to tidy the messing office ,joy
Moreover  now that she had achieved the heart s desire for which she had turned on her shameless  neurotic display  she had become dejected  and walked along meekly  head and tail hanging  ,sadness
This sickness and her silent treatment blew the winds out of my confession sails ,sadness
The end of a relationship after 4 years by doing this I hurt the other person very much,sadness
sarahrydurr mrsmerke3 i hit girls sometimes but then i kiss them on the lips afterward cuz i feel bad,anger
that  onside kick was crazy sec,surprise
omw too school  got a field trip  ,joy
She thought she had given him a very tricky word  one that he wouldnt yet have learned  and she was peeved that he had succeeded  ,anger
Hearing Fran Wilde introduce the Bill,joy
Just shit my pants Pure gravy 100 ,joy
sutter I was terrified as well It made me not ever want to celebrate Christmas in Middle Earth  ,fear
 Yes  hes really pushed me too far  ,sadness
I have yet to see a day go by where I dont see quotAly Antochaquot on my timeline WHY DOES SHE EVEN EXIST ,disgust
Looking anything but delighted at the prospect  he stood up  ,joy
When the university withdrew the accomodation that it had given me,anger
 The door bell doesnt work  the sink is leaking  theres no hot water  and the building is falling apart  ,anger
I am so pissed off right now Ready to kill ,anger
 Its not just for your drinking  But you are lacking sense of responsibility  ,anger
Had a great birthday now tomorrow Im getting my wisdom teeth out  ,joy
Im about to take the Twitter to Church  quit condemning yourself Speak   LOVE and Jesus and get this thing turn around,joy
Love how customers always think any problem in tescos is my fault I get a huge rant about how I should change tescos ,joy
Being sexually assulted on a bus,anger
quotIn the arms of my dear Savior  there are ten thousand charmsquot  peace,joy
Music is part of my life  i grew listing to all kinds of music  it has this amazing sound that gives amp Love amp even Sex  its Bea,joy
 these 2 lovejoys I call my babies  and that man I call husband ,joy
NickStavole just wait everyone is starting to come on here cause they realize how many people have one all the petty drama comes with ,joy
Putting up the Xmas tree Fun times I love Christmas believe,joy
 I will  ,neutral
Scared of the dark tonight Thank god for the red light on my blackberry ,fear
TheBodyShopUK Spending the day stuffing myself and spending quality time with family ,joy
There may be cases where there is parliamentary disquiet over a ministerial proposal and then the minister has a change of mind  ,fear
Thats unfair  Mom  ,sadness
Saturday omelette coffee perculating and Chet Baker ,joy
I stepped in poo between my apartment and my job streakontheflooratwork okaythatiskindoffunny shoeslipperyenoughtomoonwalk dope,anger
The terrifying moment when you cant find your headphones ,fear
Shes in her birthday suit because of the damn cake ,joy
Love is the highest vibration in the Universe It sends shivers of up my spine Quote for love peace and joy,joy
Much more hospitable here than I was imagining Absolutely no press facilities though so boroplayer commentary on the mobile ,joy
 Sorry  we  re sold out right nowPlease come back next week  ,sadness
But he still feels miffed and mystified as to why manager Kevin Keegan discarded him so readily from St James  Park and why no other Premier League clubs were willing to hire his lethal skills  ,anger
 I want to file a complaint  ,anger
jameHUNK bubbs really wish I could bud my last weekend in Merthyr site so gotta b there like fkkk ,anger
I kind of adore Conway So much fun and full of my favorite people Met with Shelley Kelley and laineeden Now lunch w AliciaL15 ,joy
 Oh  that scared me  ,fear
When I caused much pain and sorrow to my boyfriend by finishing our relationship,sadness
It was more that fear  anguish that I felt before my last exam,fear
 is like a heavenly Shower soaked in instant gifts that can change lives quotINspiredGude InspiredGuide,joy
When I received a beautiful birthday gift form my parents,joy
Guinness is particularly pleased that its own employees can participate in these programmes through matched giving schemes  ,joy
im tweet for Trey amp Jazzy at the same time  ,joy
TORHABSFAN Im with you ArthurLouis was my gut choiceNiemi has nothing in his books about him  of ,surprise
Riveting psych class lets fight courtneygardell dreabaybayy laurenesselman I pretty much blackout when beattheshitoutofpeople,anger
 ft LindenMH is the 2nd Leak off Dropping Next Week,fear
Theres just something about dancing with yellow spandex on that makes a person smile ,surprise
RTRevRunWisdom not afraid of tomorrow for I have seen yesterday and I love today less,fear
Before a hospital visit prior to a DC under anasthesia for an expected miscarriage,fear
in thy call you Sister in Peace thy hate U,fear
The allofasuddenphonevibration attack  ,surprise
 They are naturally excited about getting the championship back after 33 years   he said  ,joy
When I was trying for a girl who I really liked and cared for and thought she felt the same way too But she didnt like the idea and just wanted to stay friends,sadness
My family coming home screaming and shouting just woke me up had a dark house to myself well now for some homework,joy
my California cousins left today It was definitely a good time though lovefamily,sadness
Thankful to you LORD that you discipline me and have chosen me for much which includes quotsuffering amp     ,joy
 High  ,neutral
I feel like Im missing out on the things I should be doing at this age I really hope not though ,fear
 Who  ,neutral
I was overwhelmed with joy when I received the acceptance letter to university  This happened again when I passed all my first year courses,joy
Strawberry millions are the best thin evaa ,sadness
BlondeGenious My phone died last night I tried texting anyway lol Cant wait for tonight ,surprise
noedrocca om in die lijn door te gaan maken,surprise
Leannnis Funny cause I have one for you come to the store tomorrow ,surprise
I may not be clever enough to understand your English lectures,fear
Christina blushed  angry at being spoken to like a member of staff  ,anger
Watching Community with bronrsmith and eating roast almond dark chocolate  ,joy
International sports events won by my favourite national team or player brings me joy eg when India won the World cup cricket match,joy
Its my Daddys birthday but I havent seen him all day ,sadness
Great  session with my mom She did amazing for her first time ,surprise
JamesBean5 no Walking Dead tonight arggghhhhh thoughtsofsuicide,sadness
Good luck w that RT GMFuller1971 Its been my pleasure to watch the  stifle the  during the first half of the game ,joy
Work till close ,joy
ew this is an awful feeling that I never want to feel again why do some people feel like this everyday ,anger
One day I was really angry when all my food was eaten by a dog My anger was against my mother because she was careless She didnt keep the food in a hidden and proper place,anger
 Youre right  I love it very much  ,joy
I wont insult your intelligence by suggesting that you really believe what you just said FML,anger
Dear my children now that you are grown up you will be someone elses problem after you watch that programme on minianimals tonight ,joy
My thesis paper being accepted thisbringsmejoy,joy
My first 3 hours are going to be in mr dalys class tomorrow ,joy
If you use a fax card you ll be ecstatic to see that WordStar has the capacity to create faxable files in a matter of seconds  ,joy
Dada a la gran cantidad de barba que me crece nunca podria estar en una banda como Minus The Bear ,sadness
mac about to dieneed to charge but do not want to leave ,sadness
Hate the fact that people are using  as an excuse to get faded every weekend at its finest,sadness
 Why  ,neutral
Did you see this free sms app Wlhi it is working cool ,joy
Cindy Crybaby oops I mean   to miss the next 2 games ,surprise
A close married friend has just had his first child,joy
When my first girlfriend an I left each other,sadness
Making This Money For My Event ,joy
 I know  but it is hard for me to get used to your relatives coming to visit us  and without warning  ,anger
is not a bad feeling or an embarrassment Its an amazing sensation One needs fear in life Embrace it,fear
Wish next doors kids would stop crying for one minute ,anger
Some days you turn up to a gig to find its a double headliner with another band you like win,surprise
I hate waking up in the morning and my babes not there next to me  ,sadness
AllenHenry I bet When I watched soap operas back in the day the news would cut in the middle of pivotal moments haha,sadness
You know when someone says something and you just think next time why not just punch me in the face Yeah that Over dinner ,joy
Call Tweet and mourn us for today is RobCox2112 and my last day in studio until next semester ,sadness
this may sound silly but its true we all  of something here cuz u aint human wo ,fear
Instead  I made my way back along the sand  watching some evidently exhilarated surfers  ,joy
He seems slightly embarrassed discussing the incident  but admits to going on a shopping spree with someone else s card  and buying shoes  clothes and dinner for himself and his friends  ,shame
When I got caught in the pouring rain last Thursday and did not have a raincoat on me,anger
His brown  nearly auburn hair clung to his scalp as if with misery  sad eyes stared out of a freckled face  his hands were clenched tight  ,sadness
I came out of the house at 720 am Monday morning getting ready t go to school and fight for a parking when I saw my car had a flat tire,anger
The 4year old barked orders to my director friend while decorating the christmas tree this evening Biting his tongue he was ,joy
When a friend of mine died in a hiking accident  I was not present there and only got the news later,sadness
reminding ThomasGuardado that when he leaves high school hell still be connected to all the drama and hell of DHS through me ,joy
Remember that very little is needed to make a happy life  Marcus Aurelius  ,joy
One of Greece s largest hunting clubs  located in the northern port city of Salonica  said in an announcement that it was  revolted  by the dog fights ,disgust
 I know  but I was so upset  I mean  come on  Does she have to do everything her boyfriend says  ,sadness
Just bought 6 usless cups from a little boy  could anyone guess their price ,surprise
Thinking while in bed crazy how close you were to someone and you look at them so differently ,disgust
Set up a couple of computers and taught IO devices to children in StLouis orphanage home  Bhumi,joy
Hashtag of the day  I love America and all facets of its complex compilation of humanity imsadfortheworld,fear
One of my greatest fears in life is that someone will find a way to retrieve everything Ive ever googled  ,fear
quotIn your do not sin do not let the sun go down while you are still angry and DO NOT GIVE THE DEVIL A FOOTHOLDquot Ephesians 426,anger
Doing unexpectedly well in an exam,joy
DustyWWE is now officially my favourite celebrity tweeter ,joy
 Yes  but you might have told me before  ,anger
Im stressed out to the point I dont wanna do any more work At least tomorrow is Friday ,joy
So excited about the growth in my friend amp Brother Pastor Soto The Holy Spirit is on this kid ,joy
 Like how  ,neutral
I guess Ill be writing a scholarship essay today ,joy
My friend was badly hurt,sadness
 But I get scared the moment I see a needle  How could I stand having needles in my body for hours on end  ,fear
You didnt tell me she was married  ,anger
My hands dart indignantly about my desk as if they were offended mice  opening files  annotating minutes  picking up the receiver  ,anger
 I felt mortified  but cushioned by the drink   ,shame
philosophy paper day 2 5daysleft,joy
When I came to know that my feelings for someone were not reciprocated,sadness
Great Jay is coming out of Daniel Get ready for a rage,anger
On my birthday I got a present that I had desired for a long time,joy
I suppose Ill attempt to sleep being I have to be up in four hours ,joy
Right need to do a mahooosive load of washing and tumble dryinggg ,joy
 is in het land en de  komt er weer aan Geen idee wat je als moet maken Geen stress hier komen allerlei tips,surprise
quotFamily Nightquot More like quotRub It In Calebs Face That He Doesnt Have A Girlfriend Or Wife Nightquot ahwell jive,joy
my mom just made me carry in a 50 inch tv with my eyes closed because it was my christmas present ,surprise
Got a lot done on the apartment with Tigerwong today Now I have been stolen away to a hot tub party ,surprise
 OK  ,neutral
I sent a book to a friend of mine  The book meant a lot to me and he lost it,anger
When I failed two subjects last year,sadness
Preparing for the Hamm and Houten show It will be nice to see and talk to some long time no see friends again ,joy
aleahruth im at the family location quite frequently You are either working or your Dad doesnt bring you ,sadness
Mons stuff makes me happy Go look one day just to get a spot of tsbazelli Wiswell lilmonmon  0,joy
Finally some restafter three weeks of daily working trying to get in a Xmas spirit for my grandchildren whose mother is sick ,sadness
 But why were you getting off work so late  The office close at six  doesnt it  ,anger
does the same with the disco stick RT JustStark cant resist and pokes Magnus with the angry stick RT BadassBane ,anger
 I used to be sad and pathetic  but I m not so miserable any more  ,sadness
The first place I drive to the studio ,surprise
 There are several possible sources you might use for that topic  I suggest you use the computer and the computer will give you a list of every scientific journal that talks about children and television  ,neutral
skipping philosophy was the best idea Ive ever had ,joy
Moegley21 I mean basically you going shopping in the am Daddy decided hes going now ,joy
Left a sunny 80 degree lakewood to go to an rainy 57 degree georgetown ,joy
The bearers looked embarrassed and tried to get her to go  ,shame
Im just gonna say this once drink is evil Im never drinking again I hate my phone ,fear
Boy u have turn into such a fuking mess it aint even funny now ,disgust
Unfortunately Chris s health suffered  and she became very depressed  ,sadness
George felt anxious that he had had no opportunity to be alone with Tamar  and so there had been no chance of warning her about the groom  ,fear
No more exams until Tuesday Does watching Madeline from my bed count as going back to bed  christmastime,joy
How do I know who to delete off my facebook look for everyone who did a quotdearquot status theyre all five years younger than me ,surprise
Ive just seenreviewed some crazy shit done in ASPNET MVC ,sadness
Very Vintage Visitor competition with a prize of a 10 voucher to spend with The Beauty Queens QueensOfMakeup on saturday Of Vintage,joy
Doctor McCann turned an exasperated face away and addressed himself to Peg  ,anger
is never wout a reason but seldom w a good one quotxABenjamin Franklin serenityreiki recovery ptsd change survivors,anger
Waking up this early to study for my 11am final on a saturday ,joy
In the house where I live there is a new flatmate His friends unfortunately are the dirt of society intelligent fashionable rich and bored At a party recently they were doing things I didnt like done in my house I felt angry at them,anger
Was just wondering when in the world I was going to get my Womanthology sketchbook Just got the word theyre shipping this week ,joy
Found the mosquito in the shower  ,surprise
You gotta put some dish detergent in the tub so you can get dat bubble action,joy
goodNight Tworld  Love Say your prayers and talk from the heart not because you think its the right thing to do Eddie P EP,joy
So you can see why mothers get angry when they discover that even everyday foods such as apples can cause a buildup of unwanted chemicals in their children s bodies  ,anger
Damn I missed shouting myself out for my 2000th  I reminded myself yesterday though It was a political tweet  Nope,surprise
Whenever my father smokes the smell makes me feel very uncomfortable  He never listens to my complaints and I curse him furiously in my mind  I cannot solve this problem by violence because of traditional moral values  ,anger
It seems as i gain a follower i lose one Stuck at 123 ,sadness
Wow One Christmas production down Five to go Whoop This is gonna go fast ,joy
RT follow unitednude and WIN one of the 5 special collector items that we are giving away to our Twitter friends RT WIN,surprise
 Well  Its not all my fault  Anna  ,sadness
Aw that was a cute Kim and Kris moment ,sadness
Being made to watch health and safety videos at work ,joy
I dont know why I always have to bring up thoughts that make my heart hurt ,sadness
He watched  felt indignant but also justified because he was right  ,anger
So excited for the 25 days of Christmas  ,joy
AlysJ Not coming to  until SatAM but will DEFINITELY come amp say hi Watch out for something sweet on Reg Desk from EL ,surprise
 I am so excited about seeing my sons again  ,joy
Have such a long day tomorrow and I am sick pleaseworkfastnyquil,joy
PauGA Opale60 et figureisgood mont trouve sur la photo de 6e donc la meme tete quen 6e  ,fear
quotOMGwhatateen I get so emotional when youre not around That emotion is called joyquot ,joy
 Yes  ,neutral
Ja nu thuis van werken moe en morgen leren een uur pas school ,joy
AnaExclusive ii seen ah dude take ah piic wiit 3 ,sadness
 amp only things I really require at all times,joy
 The Redskin  s quarterback just threw a touchdown pass for seven points  We  re losing again  ,sadness
 How come  ,neutral
What Aint no mo wine Jesus Pass the water please We thirsty SHIFT,joy
Nothing better then yours daughters smile when you havent seen her in a few days ,joy
When my grandfather whom I had met only once for 3 weeks died after several months I was really sad because he was a lovely person and I did not have the means for his company,sadness
My busy day is getting quieter and quieter Two out of three clients now cancelled Well see if the other turns up ,joy
Man these Indian rappers from Brampton are almost as bad as the black ones ,sadness
davetoyn hahaha yeah another lunch time spent queuing up at the sorting office for me ,joy
Leaving tomorrow A day earlier than expected Oh well goodholidayanyway,surprise
GinaMick i hope i see you this weekend just waiting for a text from ,joy
moreeeee family time today ,joy
Hes bringing  to the hopeless giving His heart to the broken and sharing His home with the orphan He is the  He is my JOY,joy
 I am calling to inform you that were happy to have you with us  Welcome aboard  Im sure your friend would have given you a lot of information of our school and its motto  ways of teaching  etc  ,joy
My son was registered to get admission in grade one of the         primary school  The chances of him getting a place there was 110  Two weeks later I was informed that he had been enrolled,joy
When I heard that a good friend who had been abroad for a long time would come and see me,joy
goodnight world its nurse hannah from tomorrow can barely control my excitement waking up at half 5 ,joy
LilysQuilts sewjustinesew that Lynne is to blame with her talk of Christmas pillowcases Now I shall have many flannel ones ,joy
I stay away from niggas that can land me in some trouble drake,fear
I experienced tears of real grief for the first time when my granny died  ,sadness
Just remembered some stuff from my child hood So I DID EXIST WOW Happy rite now  ,joy
When I am with a friend and we have to leave each other,sadness
I have to read almost an entire book todaythanks mrsbyrum ,joy
someone thinking they know me but dont have the slightest clue,fear
 In Boston  ,neutral
is a momentary madness so control your passion or it will control you  G M Trevelyan quote quotes,anger
No wonder she was now inconsolable at the prospect of the child being returned to London  ,sadness
The outrageous conduct of a relative towards me and those close to meblaming us and lying,anger
When I was teased by my friend for not scoring good marks in the exams,anger
Im really sleepy and i have a game at cherokee ,joy
Listening to cartalk on my  during the journey homeon a Thurs ,joy
Theyre such drama queens Dont have to worry about shit Theyre just using it to bring attention to themselves surprise,surprise
When I asked my girlfriend to marry me,joy
Ugh SAT classes start tomorrow and ya know what they decided to do first A fulllength SAT test ,joy
Going to the exam not well prepared,fear
Love is the highest vibration in the Universe It sends shivers of up my spine Quote for love peace and joy,joy
 Five  ,neutral
Morning Sewing class on deck n then I get to kick it with BQueenston ,joy
A friend of mine played a joke on another friend over the telephone  This friend crying called me and I got very angry and made the other person apologize,anger
He sifted  somewhat peeved  through the remaining unopened mail  ,anger
 The door bell doesnt work  the sink is leaking ,anger
Its a beautiful morning here in  I love this drizzle Means only one thing morning walk cancelled YAY ,joy
This BCS show is like the NCAAB Tourney selection show Except after announcing the teams all but 2 are immediately eliminated ,sadness
Gonna sleep to 1 pm again tomorrow no exam for me      ,joy
im doing a weeks worth of homework in one day ,joy
During the funeral of my grandmother when I saw my mother and other family members crying,sadness
When my exgirlfriend and I discovered that there was a certain risk of her being pregnant,sadness
When for example my grandfather fell seriously ill It was necessary for him to be operated and I felt great fear of losing him because he is so dear to me,fear
Just seen a guy in full makeup offering to do makeup in Macys ,disgust
 Nice meeting you  too  ,joy
wow bad evening ,sadness
The ridges on a penis head are actually there to scoop out the quotremnantsquot left behind by another male ,disgust
Car accident nearly occurred between us and drunk driver coming in opposite direction it missed us by approx 1 m and collided after rolling twice midair into nearby scrub,fear
When a thief entered the house in which I was sleeping,fear
AmeliaLilyOffic I love you But I love Craig too What a dilemma ,sadness
finally headed to bed ready to fail chem tomorrow ,joy
Some real research  I suggest  is needed into a condition which  though frequently ribtickling in retrospect  causes widespread anguish at the time  ,sadness
Heb nu alle kadotjes Nu nog een idee en uitwerking voor derest ,surprise
Happiness is a gift freely given to us each day untie the ribbons unfurl its splendid joy   via purelovenjoy,joy
I will say Merry Christmas to EVERYONE Even those who emphasize happy holidays There is in CHRISTmas ,joy
Si on RT mon 4 000me tweets la personne qui le fera en premier qui me follow pas encore bien sur me follow bah ,surprise
Glad to have him back but MapsRubin is leaving already after 3 days ,sadness
 For me  ,neutral
Im going to feel extremely hungry tomorrow from not enjoying the yearly Thanksgiving meal ,sadness
We were all very worried about you and I m delighted you re home again  ,joy
The music on the radio was great I dint even need my ipod ,surprise
Selling all of my old snowball dresses and my first homecoming dress  ,sadness
 Yes  ,neutral
